amazon-order-id	purchase-date	order-status	fulfillment-channel	sku	asin	product-name	quantity	currency	item-price	item-tax	shipping-price	ship-city	ship-state	ship-postal-code	ship-country
523-3824895-4987333	2025-11-11T00:13:20+00:00	Shipped	Amazon	JAVY-DEC-18OZ	B082114183	Decaf Concentrate 18oz	1	USD	65.95	4.61	3.99	North Matthewton	KY	69850	US
187-1526320-7788057	2025-10-29T11:55:05+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B075952595	Vanilla Concentrate 18oz	2	USD	112.22	9.88	0.0	West Kyleland	FL	34360	US
828-3875032-8618620	2025-07-04T05:22:38+00:00	Shipped	Amazon	JAVY-VARIETY	B029063230	Variety Pack	1	USD	45.57	4.28	5.99	Gibsonview	PA	62316	US
665-8433649-6542336	2025-12-08T17:16:04+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B058860657	Mocha Concentrate 6oz	1	USD	28.05	1.63	3.99	Port Michael	IL	28658	US
341-8314824-8262674	2025-11-29T16:55:56+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B073337926	Caramel Concentrate 6oz	3	USD	75.51	6.85	0.0	Kelseyport	AL	57957	US
953-4061962-7527366	2025-07-13T20:07:22+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B016825148	Vanilla Concentrate 18oz	1	USD	59.79	4.24	0.0	Danielmouth	VA	16109	US
113-4384186-7864658	2025-01-06T04:31:23+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B045549512	Original Concentrate 6oz	1	USD	24.25	1.48	0.0	Beverlyshire	CT	60723	US
395-8542608-3961924	2025-02-04T06:51:30+00:00	Shipped	Merchant	JAVY-CAR-6OZ	B086581651	Caramel Concentrate 6oz	1	USD	26.63	2.0	3.99	West Keith	SC	79541	US
859-3113287-5133533	2025-05-06T15:52:26+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B073260704	Decaf Concentrate 6oz	1	USD	29.14	2.55	0.0	North Mathew	PA	64507	US
731-6798616-9427898	2025-03-30T16:05:50+00:00	Shipped	Amazon	JAVY-CBKIT	B090503644	Cold Brew Kit	1	USD	33.68	3.06	0.0	East Jameshaven	IN	29044	US
739-4487242-4877626	2025-08-24T01:16:01+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B044761278	Original Concentrate 18oz	1	USD	50.7	3.76	5.99	Millerland	IL	90728	US
806-9126460-4010656	2025-02-16T07:51:08+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B087640799	Original Concentrate 6oz	3	USD	76.47	4.19	5.99	East Margaret	LA	68811	US
553-5254742-7064821	2025-03-28T05:36:59+00:00	Shipped	Amazon	JAVY-CAR-18OZ	B033285469	Caramel Concentrate 18oz	2	USD	115.08	5.78	3.99	South Sharon	AZ	67738	US
999-2782408-4770478	2025-10-10T18:50:20+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B096088354	Mocha Concentrate 6oz	1	USD	27.58	1.83	0.0	Hunterburgh	MA	73484	US
590-2102216-2568700	2025-08-13T23:19:58+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B021712886	Original Concentrate 18oz	1	USD	56.89	3.18	5.99	West Laurafort	MD	71713	US
981-1909643-7891909	2025-08-13T10:59:23+00:00	Shipped	Merchant	JAVY-MOC-6OZ	B066441100	Mocha Concentrate 6oz	2	USD	54.2	5.34	3.99	Gonzalezport	FL	73226	US
870-2262112-7360115	2025-09-12T11:39:39+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B086953917	Mocha Concentrate 6oz	1	USD	26.08	2.59	5.99	Whiteland	NC	41586	US
396-4934198-8554987	2025-11-12T21:06:54+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B067690164	Decaf Concentrate 6oz	1	USD	26.02	2.41	0.0	North Sean	NY	40573	US
378-5587122-3481590	2025-03-16T14:30:48+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B035742829	Original Concentrate 6oz	1	USD	23.19	2.08	3.99	Murphyborough	SC	43418	US
921-1474048-4901953	2025-12-03T21:46:55+00:00	Shipped	Amazon	JAVY-ORIG-18OZ	B085097306	Original Concentrate 18oz	1	USD	53.23	4.1	5.99	South Lisa	VA	67591	US
272-8951648-2696538	2025-05-17T23:13:15+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B049561600	Vanilla Concentrate 6oz	1	USD	27.27	2.36	5.99	North Williamville	AZ	47194	US
719-2082255-7387372	2025-12-03T22:28:04+00:00	Shipped	Amazon	JAVY-DEC-18OZ	B042629414	Decaf Concentrate 18oz	1	USD	63.87	4.03	0.0	Jenningsborough	OK	38844	US
431-6078353-2807784	2025-12-21T16:57:10+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B096566171	Mocha Concentrate 6oz	1	USD	26.6	2.05	5.99	Mollyfort	UT	11985	US
664-1697175-3914608	2025-08-24T08:21:49+00:00	Shipped	Amazon	JAVY-START	B099095113	Starter Kit	1	USD	42.83	4.24	5.99	Ramosfurt	MN	21811	US
478-5921380-4279510	2025-09-03T13:47:11+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B039935486	Vanilla Concentrate 6oz	1	USD	25.3	2.49	0.0	Chapmanland	IN	41184	US
183-8232256-2685557	2025-06-23T09:54:24+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B061345428	Original Concentrate 6oz	1	USD	23.51	2.11	0.0	East Lisa	MN	18399	US
595-1068135-8006237	2025-07-05T15:44:16+00:00	Shipped	Amazon	JAVY-CBKIT	B050611207	Cold Brew Kit	1	USD	33.46	2.56	5.99	Pamelachester	KY	34840	US
888-8567384-3355970	2025-11-22T21:24:39+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B092659445	Mocha Concentrate 6oz	2	USD	56.56	4.56	0.0	Brianshire	IL	75882	US
554-8587744-6260020	2025-10-04T20:24:56+00:00	Shipped	Amazon	JAVY-START	B029303247	Starter Kit	1	USD	43.09	4.06	5.99	Lake Benjaminton	LA	70266	US
563-6618261-6472794	2025-09-12T07:56:07+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B016558277	Vanilla Concentrate 6oz	1	USD	27.68	2.4	3.99	Timothyshire	OK	02724	US
487-8998815-6642174	2025-04-28T14:08:54+00:00	Shipped	Amazon	JAVY-MOC-6OZ	B018295843	Mocha Concentrate 6oz	1	USD	27.6	1.87	5.99	Port Sarah	PA	93414	US
848-1943269-4658577	2025-09-13T06:26:43+00:00	Shipped	Amazon	JAVY-CAR-6OZ	B067378105	Caramel Concentrate 6oz	2	USD	49.88	2.86	5.99	Frankland	OH	71319	US
467-9988921-7119729	2025-07-07T09:12:59+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B098250917	Original Concentrate 6oz	2	USD	49.52	3.74	3.99	Alvaradoport	VA	38182	US
814-5525937-4801418	2025-08-05T10:45:41+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B059783285	Vanilla Concentrate 18oz	1	USD	57.78	3.22	3.99	Lake Kenneth	KY	36799	US
440-6823313-4276121	2025-11-21T10:38:48+00:00	Shipped	Amazon	JAVY-START	B091458948	Starter Kit	1	USD	45.94	4.09	0.0	Christinemouth	IN	76894	US
162-8746334-3524451	2025-04-14T07:50:51+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B021428703	Vanilla Concentrate 6oz	1	USD	26.83	2.17	0.0	Samuelside	LA	49120	US
262-2195004-6976431	2025-05-19T22:07:16+00:00	Shipped	Amazon	JAVY-DEC-6OZ	B083852744	Decaf Concentrate 6oz	1	USD	29.3	1.92	0.0	Murphyshire	PA	46183	US
416-1378999-7208506	2025-12-12T15:16:02+00:00	Shipped	Amazon	JAVY-CAR-18OZ	B067848622	Caramel Concentrate 18oz	1	USD	58.35	3.99	3.99	New Judy	OH	78139	US
908-8408190-9195699	2025-05-27T07:03:28+00:00	Shipped	Amazon	JAVY-CAR-18OZ	B093410805	Caramel Concentrate 18oz	1	USD	54.0	5.31	0.0	East Douglasmouth	OR	98174	US
919-4833000-5705844	2025-11-01T15:10:52+00:00	Shipped	Amazon	JAVY-VAN-18OZ	B085643715	Vanilla Concentrate 18oz	1	USD	57.25	3.01	0.0	Simonland	TN	18544	US
425-2477079-4533419	2025-03-02T18:09:52+00:00	Shipped	Amazon	JAVY-ORIG-6OZ	B069829814	Original Concentrate 6oz	1	USD	24.68	1.78	5.99	Allisonborough	MI	84295	US
479-6402288-3123127	2025-03-19T01:45:22+00:00	Shipped	Merchant	JAVY-MOC-6OZ	B052051510	Mocha Concentrate 6oz	1	USD	27.1	2.01	3.99	Roachmouth	VA	02386	US
944-7411843-4890475	2025-05-18T09:18:08+00:00	Shipped	Amazon	JAVY-DEC-18OZ	B055989660	Decaf Concentrate 18oz	2	USD	118.02	11.12	3.99	Karenhaven	MI	39724	US
397-4352595-1890329	2025-01-30T01:13:45+00:00	Shipped	Amazon	JAVY-VAN-6OZ	B045292020	Vanilla Concentrate 6oz	1	USD	25.13	2.25	5.99	Saraville	LA	35349	US
862-5078309-5876431	2025-11-02T06:23:40+00:00	Shipped	Merchant	JAVY-ORIG-6OZ	B097430561	Original Concentrate 6oz	1	USD	24.31	1.56	5.99	South Tyler	OH	21456	US
876-8614915-2862784	2025-04-25T22:40:02+00:00	Shipped	Amazon	JAVY-DEC-18OZ	B068228128	Decaf Concentrate 18oz	1	USD	64.55	4.46	0.0	Hendrixville	KY	11379	US
