settlement-id	order-id	sku	amount-type	amount-description	amount
17239876543	523-3824895-4987333	JAVY-DEC-18OZ	ItemPrice	Principal	65.95
17239876543	523-3824895-4987333	JAVY-DEC-18OZ	ItemPrice	Tax	4.61
17239876543	523-3824895-4987333	JAVY-DEC-18OZ	ItemPrice	Shipping	3.99
17239876543	523-3824895-4987333	JAVY-DEC-18OZ	ItemFees	Commission	-9.89
17239876543	523-3824895-4987333	JAVY-DEC-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.65
17239876543	187-1526320-7788057	JAVY-VAN-18OZ	ItemPrice	Principal	112.22
17239876543	187-1526320-7788057	JAVY-VAN-18OZ	ItemPrice	Tax	9.88
17239876543	187-1526320-7788057	JAVY-VAN-18OZ	ItemFees	Commission	-16.83
17239876543	187-1526320-7788057	JAVY-VAN-18OZ	ItemFees	FBAPerUnitFulfillmentFee	-5.08
17239876543	828-3875032-8618620	JAVY-VARIETY	ItemPrice	Principal	45.57
17239876543	828-3875032-8618620	JAVY-VARIETY	ItemPrice	Tax	4.28
17239876543	828-3875032-8618620	JAVY-VARIETY	ItemPrice	Shipping	5.99
17239876543	828-3875032-8618620	JAVY-VARIETY	ItemFees	Commission	-6.84
17239876543	828-3875032-8618620	JAVY-VARIETY	ItemFees	FBAPerUnitFulfillmentFee	-4.64
17239876543	665-8433649-6542336	JAVY-MOC-6OZ	ItemPrice	Principal	28.05
17239876543	665-8433649-6542336	JAVY-MOC-6OZ	ItemPrice	Tax	1.63
17239876543	665-8433649-6542336	JAVY-MOC-6OZ	ItemPrice	Shipping	3.99
17239876543	665-8433649-6542336	JAVY-MOC-6OZ	ItemFees	Commission	-4.21
17239876543	665-8433649-6542336	JAVY-MOC-6OZ	ItemFees	FBAPerUnitFulfillmentFee	-3.82
17239876543	341-8314824-8262674	JAVY-CAR-6OZ	ItemPrice	Principal	75.51
17239876543	341-8314824-8262674	JAVY-CAR-6OZ	ItemPrice	Tax	6.85
